omega,seed,pinn_gmm_micro,std_gmm_micro,pinn_knn_micro,std_knn_micro
1.2,16,0.43803418803418803,0.5106837606837606,0.5854266758178907,0.61548844657973
1.2,19,0.5085470085470085,0.5149572649572649,0.5679249599633951,0.4940517044154656
1.2,8,0.4700854700854701,0.5576923076923077,0.5560283687943263,0.5859071150766415
1.2,0,0.42094017094017094,0.48717948717948717,0.611461908030199,0.5517730496453901
1.2,5,0.4700854700854701,0.5555555555555556,0.5064287348432852,0.53230382063601
1.2,4,0.4230769230769231,0.5534188034188035,0.5387096774193548,0.5471059254175246
1.2,6,0.5333333333333333,0.5172413793103449,0.5492694529391777,0.5194529391777098
1.2,7,0.4722222222222222,0.5,0.5385495309997712,0.6131320064058567
1.2,17,0.5421166306695464,0.4449244060475162,0.6134642356241233,0.6653810191678354
1.2,10,0.5576923076923077,0.5363247863247863,0.5108670784717456,0.4894303363074811
1.2,15,0.45394736842105265,0.4517543859649123,0.45446727185857616,0.539775441949355
1.2,9,0.5376344086021505,0.4344086021505376,0.6236559139784945,0.5655913978494624
1.2,18,0.5485961123110151,0.509719222462203,0.5378681626928471,0.648083216456288
1.2,3,0.5363247863247863,0.5085470085470085,0.4636696408144589,0.4973232669869595
1.2,13,0.46794871794871795,0.5192307692307693,0.41718142301532823,0.6711736444749485
1.2,12,0.5299145299145299,0.5192307692307693,0.5192862045298559,0.703363074811256
1.2,2,0.48329621380846327,0.5545657015590201,0.5878901373283396,0.6726342072409489
1.2,11,0.5827664399092971,0.5782312925170068,0.48569969356486203,0.6032175689479061
1.2,14,0.5170940170940171,0.6175213675213675,0.6156257149393731,0.7434225577671014
1.2,1,0.5683760683760684,0.4700854700854701,0.5344772363303592,0.6349347975291696
1.2,20,0.44871794871794873,0.49572649572649574,0.46813086250285973,0.49794097460535347
1.2,24,0.5362637362637362,0.4879120879120879,0.6,0.5758241758241758
1.2,22,0.5432372505543237,0.532150776053215,0.6166544566544566,0.5857631257631257
1.2,21,0.45394736842105265,0.5416666666666666,0.48036311514572383,0.6733158146201625
1.2,23,0.532051282051282,0.5106837606837606,0.6925417524593914,0.6562571493937315
1.2,25,0.5739910313901345,0.5381165919282511,0.5046941323345817,0.6169038701622972
1.2,26,0.44594594594594594,0.527027027027027,0.41417262512768127,0.4658324821246169
2.0,0,0.561965811965812,0.44017094017094016,0.5622969572180279,0.5476549988560969
2.0,4,0.4658119658119658,0.5128205128205128,0.5364447494852437,0.5814001372683596
1.2,27,0.4358974358974359,0.5042735042735043,0.5106611759322809,0.6112331274307938
1.2,28,0.5,0.5427350427350427,0.5877144818119423,0.5625257378174331
2.0,2,0.5100222717149221,0.46993318485523383,0.42097378277153563,0.6238701622971285
1.2,29,0.6263982102908278,0.6353467561521253,0.5885143570536829,0.666816479400749
2.0,5,0.5811965811965812,0.5128205128205128,0.6216197666437886,0.5661862274079158
2.0,6,0.5218390804597701,0.47126436781609193,0.4574838600067958,0.5354230377166157
2.0,3,0.5256410256410257,0.5149572649572649,0.5213223518645619,0.512743079386868
2.0,1,0.3995726495726496,0.5149572649572649,0.4934111187371311,0.6050560512468542
2.0,9,0.41935483870967744,0.45161290322580644,0.6215053763440859,0.3827956989247312
2.0,7,0.40384615384615385,0.5448717948717948,0.47627545184168385,0.5765957446808512
2.0,8,0.45726495726495725,0.47649572649572647,0.5454129489819264,0.5239075726378404
2.0,17,0.5485961123110151,0.5485961123110151,0.6370266479663395,0.6888966806919121
2.0,13,0.48504273504273504,0.5064102564102564,0.4957904369709449,0.6860443834362846
2.0,14,0.5085470085470085,0.6089743589743589,0.6623198352779684,0.7056737588652482
2.0,16,0.5021367521367521,0.4893162393162393,0.5768474033401968,0.5940059482955846
2.0,10,0.4252136752136752,0.5021367521367521,0.4468085106382979,0.48721116449325097
2.0,11,0.45351473922902497,0.5759637188208617,0.5309499489274769,0.6145812053115425
2.0,12,0.5341880341880342,0.6517094017094017,0.6303363074811256,0.7525509036833677
2.0,15,0.5372807017543859,0.47368421052631576,0.585953177257525,0.581772575250836
2.0,20,0.44017094017094016,0.4700854700854701,0.5108670784717456,0.4875314573324182
2.0,21,0.42105263157894735,0.5043859649122807,0.4499283325370282,0.5505494505494506
2.0,18,0.5766738660907127,0.5356371490280778,0.626157082748948,0.47949976624590934
2.0,19,0.5982905982905983,0.5256410256410257,0.593937314115763,0.5514985129261039
2.0,22,0.532150776053215,0.4745011086474501,0.5144810744810744,0.496996336996337
2.0,23,0.5042735042735043,0.49145299145299143,0.4854953099977122,0.6075040036604896
2.0,25,0.5515695067264574,0.49327354260089684,0.5384019975031211,0.5317852684144819
